day_order,day,calendar_date,days_since_day1,days_since_planting,days_since_previous_photo,tray,tray_no,capture_id,grid_status,cells_processed,cells_with_valid_ndvi,cells_with_valid_ndre,mean_cell_ndvi,median_cell_ndvi,mean_cell_ndre,median_cell_ndre,mean_ndvi_positive_fraction,mean_ndre_positive_fraction,npz_path,ndvi_preview_path,ndre_preview_path,ndvi_overlay_path,ndre_overlay_path,status,notes
2,Day 2,2026-06-30,1,3,1,Tray 11,11,DJI_20260630132921_0011,PASS_AUTO,70,70,70,0.30752046150820594,0.3243267685174942,-0.035559335179693466,-0.06565557047724724,0.9030171082597362,0.41301698388736846,Day 2\Tray 11\DJI_20260630132921_0011_relative_indices.npz,Day 2\Tray 11\DJI_20260630132921_0011_ndvi_preview.png,Day 2\Tray 11\DJI_20260630132921_0011_ndre_preview.png,Day 2\Tray 11\DJI_20260630132921_0011_ndvi_polygon_overlay.png,Day 2\Tray 11\DJI_20260630132921_0011_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
2,Day 2,2026-06-30,1,3,1,Tray 12,12,DJI_20260630133116_0012,PASS_AUTO,70,70,70,0.30342844341482433,0.2905401289463043,-0.05573191520358835,-0.08714409545063972,0.9115365843856618,0.3746392159450707,Day 2\Tray 12\DJI_20260630133116_0012_relative_indices.npz,Day 2\Tray 12\DJI_20260630133116_0012_ndvi_preview.png,Day 2\Tray 12\DJI_20260630133116_0012_ndre_preview.png,Day 2\Tray 12\DJI_20260630133116_0012_ndvi_polygon_overlay.png,Day 2\Tray 12\DJI_20260630133116_0012_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
3,Day 3,2026-07-01,2,4,1,Tray 1,1,DJI_20260701112247_0001,PASS_AUTO,70,70,70,0.3123185828328133,0.3563503473997116,-0.03559347306311663,-0.0377341452986002,0.9230686689815705,0.4530951861892193,Day 3\Tray 1\DJI_20260701112247_0001_relative_indices.npz,Day 3\Tray 1\DJI_20260701112247_0001_ndvi_preview.png,Day 3\Tray 1\DJI_20260701112247_0001_ndre_preview.png,Day 3\Tray 1\DJI_20260701112247_0001_ndvi_polygon_overlay.png,Day 3\Tray 1\DJI_20260701112247_0001_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
3,Day 3,2026-07-01,2,4,1,Tray 2,2,DJI_20260701112419_0002,PASS_AUTO,70,70,70,0.29459331418786733,0.28431420028209686,-0.03881882833915629,-0.08496260643005371,0.9172334472516015,0.42809025342156504,Day 3\Tray 2\DJI_20260701112419_0002_relative_indices.npz,Day 3\Tray 2\DJI_20260701112419_0002_ndvi_preview.png,Day 3\Tray 2\DJI_20260701112419_0002_ndre_preview.png,Day 3\Tray 2\DJI_20260701112419_0002_ndvi_polygon_overlay.png,Day 3\Tray 2\DJI_20260701112419_0002_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
3,Day 3,2026-07-01,2,4,1,Tray 3,3,DJI_20260701112502_0003,PASS_AUTO,70,70,70,0.29282978773117063,0.29268255829811096,-0.0519988595508039,-0.1026649959385395,0.9170912371951786,0.41748727644363237,Day 3\Tray 3\DJI_20260701112502_0003_relative_indices.npz,Day 3\Tray 3\DJI_20260701112502_0003_ndvi_preview.png,Day 3\Tray 3\DJI_20260701112502_0003_ndre_preview.png,Day 3\Tray 3\DJI_20260701112502_0003_ndvi_polygon_overlay.png,Day 3\Tray 3\DJI_20260701112502_0003_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
3,Day 3,2026-07-01,2,4,1,Tray 4,4,DJI_20260701112636_0004,PASS_AUTO,70,70,70,0.27869496835129604,0.21918179094791412,-0.07279029547103814,-0.14521429687738419,0.9172533488423742,0.3708257158986105,Day 3\Tray 4\DJI_20260701112636_0004_relative_indices.npz,Day 3\Tray 4\DJI_20260701112636_0004_ndvi_preview.png,Day 3\Tray 4\DJI_20260701112636_0004_ndre_preview.png,Day 3\Tray 4\DJI_20260701112636_0004_ndvi_polygon_overlay.png,Day 3\Tray 4\DJI_20260701112636_0004_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
3,Day 3,2026-07-01,2,4,1,Tray 5,5,DJI_20260701112716_0005,PASS_AUTO,70,70,70,0.30166712701320647,0.3689682334661484,-0.04038580766479884,-0.03992244601249695,0.9023364022824344,0.46312038176115766,Day 3\Tray 5\DJI_20260701112716_0005_relative_indices.npz,Day 3\Tray 5\DJI_20260701112716_0005_ndvi_preview.png,Day 3\Tray 5\DJI_20260701112716_0005_ndre_preview.png,Day 3\Tray 5\DJI_20260701112716_0005_ndvi_polygon_overlay.png,Day 3\Tray 5\DJI_20260701112716_0005_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
3,Day 3,2026-07-01,2,4,1,Tray 6,6,DJI_20260701112808_0006,PASS_AUTO,70,70,70,0.32308618809495654,0.41408197581768036,-0.008192783442791552,0.04090693034231663,0.9026388683595122,0.5333962813444794,Day 3\Tray 6\DJI_20260701112808_0006_relative_indices.npz,Day 3\Tray 6\DJI_20260701112808_0006_ndvi_preview.png,Day 3\Tray 6\DJI_20260701112808_0006_ndre_preview.png,Day 3\Tray 6\DJI_20260701112808_0006_ndvi_polygon_overlay.png,Day 3\Tray 6\DJI_20260701112808_0006_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
3,Day 3,2026-07-01,2,4,1,Tray 7,7,DJI_20260701112855_0007,PASS_AUTO,70,70,70,0.3188032099178859,0.4090276062488556,-0.004281642640125938,0.04687291011214256,0.9094944336162583,0.542093385062936,Day 3\Tray 7\DJI_20260701112855_0007_relative_indices.npz,Day 3\Tray 7\DJI_20260701112855_0007_ndvi_preview.png,Day 3\Tray 7\DJI_20260701112855_0007_ndre_preview.png,Day 3\Tray 7\DJI_20260701112855_0007_ndvi_polygon_overlay.png,Day 3\Tray 7\DJI_20260701112855_0007_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
3,Day 3,2026-07-01,2,4,1,Tray 8,8,DJI_20260701112943_0008,PASS_AUTO,70,70,70,0.3056237531559808,0.3823053240776062,-0.026557165367661843,-0.026417101733386517,0.9096770513354908,0.483786898607849,Day 3\Tray 8\DJI_20260701112943_0008_relative_indices.npz,Day 3\Tray 8\DJI_20260701112943_0008_ndvi_preview.png,Day 3\Tray 8\DJI_20260701112943_0008_ndre_preview.png,Day 3\Tray 8\DJI_20260701112943_0008_ndvi_polygon_overlay.png,Day 3\Tray 8\DJI_20260701112943_0008_ndre_polygon_overlay.png,PASS,All 70 polygons processed.
