day_order,day,calendar_date,days_since_day1,days_since_planting,days_since_previous_photo,tray,tray_no,capture_id,grid_status,cell_id,row,column,x,y,poly_tl_x,poly_tl_y,poly_tr_x,poly_tr_y,poly_br_x,poly_br_y,poly_bl_x,poly_bl_y,coordinate_source,needs_review,ndvi_zone_pixels,ndvi_valid_pixels,ndvi_valid_fraction,ndvi_mean,ndvi_median,ndvi_std,ndvi_p10,ndvi_p90,ndvi_positive_fraction,ndre_zone_pixels,ndre_valid_pixels,ndre_valid_fraction,ndre_mean,ndre_median,ndre_std,ndre_p10,ndre_p90,ndre_positive_fraction,microbe_status,treatment,fixed_environment,observed_environment,environment_group,heat_phase,moisture_phase,moisture_watered_today,microbe_treatment,treatment_environment,microbe_environment,observed_ndvi_mean,observed_ndre_mean,adjusted_ndvi_mean,adjusted_ndre_mean,day7_imputed,bug_flag_source,imputation_method,ndvi_prior_slope_per_day,ndre_prior_slope_per_day,ndvi_adjustment_difference,ndre_adjustment_difference
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,11,2,1,66.93225042896708,195.0838558360904,6.231584859572901,142.27367276309076,128.1054048245127,142.72780972701935,127.69560813965116,247.91559336990423,5.884244864156868,247.4816521453779,projection_regular_lattice,No,13038,13038,1.0,0.3168726563453674,0.3102084696292877,0.2240725010633468,0.0493840165436267,0.5773026347160339,0.924835097407578,13038,13038,1.0,-0.0542443692684173,-0.0831332504749298,0.2257115691900253,-0.3480680584907532,0.2445249557495117,0.3959196195735542,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3168726563453674,-0.0542443692684173,0.2906598150730133,-0.07522462308406835,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.007745414972305297,-0.006967153400182749,-0.02621284127235407,-0.02098025381565105
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,12,2,2,202.3729228106556,195.56162135336663,141.65294187876188,142.7767082642693,263.6347888903069,143.2027449708402,263.1555958838393,248.3680889032782,141.23620556173972,247.96224793610952,projection_regular_lattice,No,13038,13038,1.0,0.3210931718349457,0.3676890134811401,0.2287981361150741,0.0111029129475355,0.5796355605125427,0.9075778493633992,13038,13038,1.0,-0.0509780906140804,-0.0889661908149719,0.2271434813737869,-0.3566708564758301,0.262186199426651,0.393005062126093,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3210931718349457,-0.0509780906140804,0.2511340975761416,-0.12572541460394854,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.01939052343368521,-0.02068355306982994,-0.0699590742588041,-0.07474732398986814
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,13,2,3,337.9336252441277,196.00816436246765,277.1943289497344,143.24852125727264,399.2842030078848,143.64645770648585,398.7356136798109,248.7893619284769,276.7081963111062,248.411621218666,projection_regular_lattice,No,13038,13038,1.0,0.3121539950370788,0.2981687784194946,0.2320655137300491,0.0190976466983556,0.5867197513580322,0.912103083294984,13038,13038,1.0,-0.0506730787456035,-0.0809027329087257,0.2329349666833877,-0.3488692343235016,0.2622759938240051,0.3641662831722657,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3121539950370788,-0.0506730787456035,0.25461001694202434,-0.13065058365464216,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.015052601695060699,-0.01927968487143519,-0.05754397809505446,-0.07997750490903865
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,14,2,4,473.6143577293834,196.42348486339355,412.85574607249055,143.6891117421008,535.0536471772461,144.05894793395632,534.4356615275663,249.17941244550047,412.3002171122562,248.8297719930472,projection_regular_lattice,No,13038,13038,1.0,0.3174377083778381,0.3330143988132477,0.2198900431394577,0.0443941093981266,0.5797075033187866,0.9216137444393312,13038,13038,1.0,-0.039163127541542,-0.0578696653246879,0.2103967815637588,-0.3332899212837219,0.2430189847946167,0.3619420156465716,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3174377083778381,-0.039163127541542,0.2787384688854218,-0.11305628716945651,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.011890441179275487,-0.016068272292614,-0.03869923949241627,-0.07389315962791451
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,15,2,5,609.4151202664228,196.80758285614417,548.6371932470304,144.09847971875374,670.9431213983912,144.44021565325158,670.2557394271051,249.53824045434885,548.0122679651898,249.21670025925323,projection_regular_lattice,No,13099,13099,1.0,0.3128893077373504,0.3497046828269958,0.2283951044082641,0.0764807686209678,0.5740320682525635,0.9248034201084052,13099,13099,1.0,-0.0326138213276863,-0.0394912995398044,0.20168536901474,-0.332382321357727,0.2145018875598907,0.3900297732651347,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3128893077373504,-0.0326138213276863,0.2597258388996126,-0.08628980908542877,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.01767084002494806,-0.014984517358243488,-0.053163468837737815,-0.05367598775774247
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,16,2,6,745.3359128552456,197.16045834071963,684.5386704733537,144.47662518723146,806.9526256713198,144.79026086437165,806.1958473784276,249.865845955022,683.8443488699071,249.57240601728404,projection_regular_lattice,No,13101,13101,1.0,0.2974780797958374,0.2699509263038635,0.2283386439085006,0.0414012745022773,0.5717592835426331,0.9218380276314784,13101,13101,1.0,-0.0312207713723182,-0.048252910375595,0.2268479764461517,-0.3592278659343719,0.2504779994487762,0.3755438516143806,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.2974780797958374,-0.0312207713723182,0.25719182193279266,-0.05440697632729992,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.010069027543067904,-0.0031326320022344403,-0.04028625786304474,-0.02318620495498172
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,18,2,8,1017.5375881882424,197.7725417853449,956.7017150813512,145.13924859966136,1079.3317243725278,145.39668376208618,1078.4361534364234,250.4273894318427,955.8686008346924,250.19015000882013,projection_regular_lattice,No,13038,13038,1.0,0.3271237313747406,0.3656252026557922,0.2041876465082168,0.0853077620267868,0.5638258457183838,0.9399447768062588,13038,13038,1.0,-0.0361953862011432,-0.0465116277337074,0.2155198156833648,-0.3602391481399536,0.237259104847908,0.4035895075931891,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3271237313747406,-0.0361953862011432,0.2579004168510441,-0.138389241416007,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.022498786449432245,-0.029650957789271994,-0.06922331452369651,-0.1021938552148638
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,20,2,10,1290.2193837283733,198.2597351972694,1229.344879896483,145.67698197939046,1352.1909432808698,145.8782166270999,1351.1565797015533,250.8640428759626,1228.3729730066125,250.68300396765537,projection_regular_lattice,No,13144,13144,1.0,0.3214084506034851,0.3604735732078552,0.1973584443330764,0.0911640301346778,0.5438083410263062,0.9411138161898964,13144,13144,1.0,-0.0626606196165084,-0.061080664396286,0.2038285583257675,-0.3497033715248108,0.1936054974794387,0.4025410833840535,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3214084506034851,-0.0626606196165084,0.3336627483367921,-0.052568633109331096,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,0.007066279649734541,0.0029006116092204996,0.012254297733306996,0.010091986507177304
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,21,3,1,66.68350634863138,312.06415600666946,5.862840272203611,259.18080414795816,127.66726391553732,259.6125014014398,127.56686456634912,364.9690623261951,5.824897612460924,364.5575608121157,projection_regular_lattice,No,13100,13100,1.0,0.299173891544342,0.2545984089374542,0.2197362184524536,0.0103699155151844,0.583755612373352,0.90793893129771,13100,13100,1.0,-0.0699881464242935,-0.1108326017856597,0.2269398719072342,-0.3736706674098968,0.2542583048343658,0.357175572519084,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.299173891544342,-0.0699881464242935,0.2746072858572005,-0.10422872751951225,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.007027581334114084,-0.009279474616050748,-0.024566605687141474,-0.03424058109521874
7,Day 7,2026-07-07,8,10,3,Tray 1,1,DJI_20260707125025_0001,PASS_AUTO,22,3,2,202.04707170631312,312.51698851233806,141.20709026738578,259.658906637529,263.1195409573247,260.06250363365297,262.9497452865304,365.3966248479613,141.099751286037,365.0132235912396,projection_regular_lattice,No,13038,13038,1.0,0.3051382601261139,0.2964856624603271,0.2338264137506485,0.0056679216213524,0.5819562077522278,0.9032827120724036,13038,13038,1.0,-0.0532534122467041,-0.0947734266519546,0.2460614442825317,-0.3652592599391937,0.2926451563835144,0.3742138364779874,No Microbes,Ideal,Inside,Inside,Inside,Not Heat,Not Moisture,Daily watering,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.3051382601261139,-0.0532534122467041,0.2536715418100357,-0.138500215485692,Yes,Script 05 possible_day7_bug_eaten_cells.csv,NDVI: Linear projection from the latest valid multispectral trend; NDRE: Linear projection from the latest valid multispectral trend,-0.014090016484260568,-0.020565344020724297,-0.051466718316078186,-0.0852468032389879
