day_order,day,calendar_date,days_since_planting,days_since_day1,days_since_previous_photo,tray,tray_no,label_code,microbe_status,treatment,label_environment,observed_environment,environment_type,watering_rule,heat_phase,moisture_watered_today,moisture_phase,day7_bug_rule_applies,capture_id,raw_green_cells,raw_green_percent,tracked_emerged_cells,tracked_emergence_percent,newly_emerged_today,newly_emerged_percent,carried_forward_cells,mean_green_area_percent,mean_rgb_green_cover_percent,possible_day7_bug_eaten_cells,overlay_path,mask_path,status,notes
2,Day 2,30/06/2026,3,1,1,Tray 11,11,N/M,No Microbes,Heat,Dynamic,Inside,Dynamic,Daily watering,Inside before heat exposure,Daily watering,Daily watering control,No,DJI_20260630132921_0011,63,90,63,90,61,87.14285714285714,0,0.7482635972373264,0.7482635972373264,0,Day 2\Tray 11\overlays\DJI_20260630132921_0011_visible_emergence_overlay.jpg,Day 2\Tray 11\masks\DJI_20260630132921_0011_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
2,Day 2,30/06/2026,3,1,1,Tray 12,12,N/M,No Microbes,Moisture,Inside,Inside,Fixed,Scheduled watering,N/A,No,Dry period after Day 0 watering,No,DJI_20260630133116_0012,31,44.285714285714285,32,45.714285714285715,30,42.857142857142854,1,0.1184615406568711,0.1184615406568711,0,Day 2\Tray 12\overlays\DJI_20260630133116_0012_visible_emergence_overlay.jpg,Day 2\Tray 12\masks\DJI_20260630133116_0012_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
3,Day 3,1/07/2026,4,2,1,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260701112247_0001,70,100,70,100,16,22.857142857142858,0,1.4804235573858582,1.4804235573858582,0,Day 3\Tray 1\overlays\DJI_20260701112247_0001_visible_emergence_overlay.jpg,Day 3\Tray 1\masks\DJI_20260701112247_0001_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
3,Day 3,1/07/2026,4,2,1,Tray 2,2,N/M,No Microbes,Ideal,Outside,Outside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260701112419_0002,61,87.14285714285714,61,87.14285714285714,33,47.14285714285714,0,1.0740969611279574,1.0740969611279574,0,Day 3\Tray 2\overlays\DJI_20260701112419_0002_visible_emergence_overlay.jpg,Day 3\Tray 2\masks\DJI_20260701112419_0002_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
3,Day 3,1/07/2026,4,2,1,Tray 3,3,N/M,No Microbes,Moisture,Outside,Outside,Fixed,Scheduled watering,N/A,Yes,Watered on Day 3,No,DJI_20260701112502_0003,61,87.14285714285714,61,87.14285714285714,40,57.14285714285714,0,0.718056455,0.718056455,0,Day 3\Tray 3\overlays\DJI_20260701112502_0003_visible_emergence_overlay.jpg,Day 3\Tray 3\masks\DJI_20260701112502_0003_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
3,Day 3,1/07/2026,4,2,1,Tray 4,4,N/M,No Microbes,Heat,Dynamic,Outside,Dynamic,Daily watering,Moved outside; heat exposure begins,Daily watering,Daily watering control,No,DJI_20260701112636_0004,70,100,70,100,5,7.142857142857142,0,1.574425108177521,1.574425108177521,0,Day 3\Tray 4\overlays\DJI_20260701112636_0004_visible_emergence_overlay.jpg,Day 3\Tray 4\masks\DJI_20260701112636_0004_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
3,Day 3,1/07/2026,4,2,1,Tray 5,5,M,Microbes,Moisture,Inside,Inside,Fixed,Scheduled watering,N/A,Yes,Watered on Day 3,No,DJI_20260701112716_0005,70,100,70,100,18,25.71428571428571,0,1.6033273339037302,1.6033273339037302,0,Day 3\Tray 5\overlays\DJI_20260701112716_0005_visible_emergence_overlay.jpg,Day 3\Tray 5\masks\DJI_20260701112716_0005_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
3,Day 3,1/07/2026,4,2,1,Tray 6,6,M,Microbes,Heat,Dynamic,Outside,Dynamic,Daily watering,Moved outside; heat exposure begins,Daily watering,Daily watering control,No,DJI_20260701112808_0006,65,92.85714285714286,65,92.85714285714286,9,12.857142857142856,0,1.4650011748638467,1.4650011748638467,0,Day 3\Tray 6\overlays\DJI_20260701112808_0006_visible_emergence_overlay.jpg,Day 3\Tray 6\masks\DJI_20260701112808_0006_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
3,Day 3,1/07/2026,4,2,1,Tray 7,7,M,Microbes,Ideal,Outside,Outside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260701112855_0007,60,85.71428571428571,61,87.14285714285714,39,55.714285714285715,1,0.8028897908146321,0.8028897908146321,0,Day 3\Tray 7\overlays\DJI_20260701112855_0007_visible_emergence_overlay.jpg,Day 3\Tray 7\masks\DJI_20260701112855_0007_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
3,Day 3,1/07/2026,4,2,1,Tray 8,8,M,Microbes,Heat,Dynamic,Outside,Dynamic,Daily watering,Moved outside; heat exposure begins,Daily watering,Daily watering control,No,DJI_20260701112943_0008,66,94.28571428571428,66,94.28571428571428,23,32.857142857142854,0,1.238837195240094,1.238837195240094,0,Day 3\Tray 8\overlays\DJI_20260701112943_0008_visible_emergence_overlay.jpg,Day 3\Tray 8\masks\DJI_20260701112943_0008_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
3,Day 3,1/07/2026,4,2,1,Tray 9,9,M,Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260701113026_0009,66,94.28571428571428,66,94.28571428571428,7,10,0,1.9054700590186904,1.9054700590186904,0,Day 3\Tray 9\overlays\DJI_20260701113026_0009_visible_emergence_overlay.jpg,Day 3\Tray 9\masks\DJI_20260701113026_0009_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
3,Day 3,1/07/2026,4,2,1,Tray 10,10,M,Microbes,Moisture,Outside,Outside,Fixed,Scheduled watering,N/A,Yes,Watered on Day 3,No,DJI_20260701113054_0010,46,65.71428571428571,48,68.57142857142857,39,55.714285714285715,2,0.3954564677267099,0.3954564677267099,0,Day 3\Tray 10\overlays\DJI_20260701113054_0010_visible_emergence_overlay.jpg,Day 3\Tray 10\masks\DJI_20260701113054_0010_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
3,Day 3,1/07/2026,4,2,1,Tray 11,11,N/M,No Microbes,Heat,Dynamic,Outside,Dynamic,Daily watering,Moved outside; heat exposure begins,Daily watering,Daily watering control,No,DJI_20260701113143_0011,69,98.57142857142858,69,98.57142857142858,6,8.571428571428571,0,1.515090062752817,1.515090062752817,0,Day 3\Tray 11\overlays\DJI_20260701113143_0011_visible_emergence_overlay.jpg,Day 3\Tray 11\masks\DJI_20260701113143_0011_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
3,Day 3,1/07/2026,4,2,1,Tray 12,12,N/M,No Microbes,Moisture,Inside,Inside,Fixed,Scheduled watering,N/A,Yes,Watered on Day 3,No,DJI_20260701113255_0012,64,91.42857142857143,65,92.85714285714286,33,47.14285714285714,1,0.9698267686392453,0.9698267686392453,0,Day 3\Tray 12\overlays\DJI_20260701113255_0012_visible_emergence_overlay.jpg,Day 3\Tray 12\masks\DJI_20260701113255_0012_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
4,Day 4,2/07/2026,5,3,1,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260702125244_0001,70,100,70,100,0,0,0,2.895996382098244,2.895996382098244,0,Day 4\Tray 1\overlays\DJI_20260702125244_0001_visible_emergence_overlay.jpg,Day 4\Tray 1\masks\DJI_20260702125244_0001_green_mask.png,PASS,Observed values only; no Day 7 imputation performed.
