day_order,day,calendar_date,days_since_planting,days_since_day1,days_since_previous_photo,tray,tray_no,label_code,microbe_status,treatment,label_environment,observed_environment,environment_type,watering_rule,heat_phase,moisture_watered_today,moisture_phase,day7_bug_rule_applies,capture_id,cell_id,row,column,x,y,square_x0,square_y0,square_x1,square_y1,square_side,raw_green_bool,raw_current_green_evidence,tracked_visible_emerged_bool,tracked_visible_emerged,newly_emerged_today,carried_forward_only,first_visible_emergence_day,first_visible_emergence_day_order,first_visible_emergence_date,disappeared_after_previous_emergence,possible_day7_bug_eaten_bool,possible_day7_bug_eaten,green_pixels,largest_green_component,green_area_percent,rgb_green_cover_percent,zone_pixels,coordinate_source,grid_error,grid_needs_review,notes
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,33,4,3,946.6888889,1208.494444,800.4490994,1062.254655,1092.928678,1354.734234,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,direct_cup_evidence,0.014832554,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,34,4,4,1260.855556,1198.022222,1114.615766,1051.782433,1407.095345,1344.262012,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.208118386,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,35,4,5,1704.877778,1204.305556,1558.637988,1058.065766,1851.117567,1350.545345,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.001611327,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,36,4,6,2054.65,1223.155556,1908.41021,1076.915766,2200.88979,1369.395345,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.103049879,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,37,4,7,2460.972222,1204.305556,2314.732433,1058.065766,2607.212012,1350.545345,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,direct_cup_evidence,0.006738744,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,38,4,8,2861.011111,1198.022222,2714.771322,1051.782433,3007.250901,1344.262012,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.077695193,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,39,4,9,3225.444444,1210.588889,3079.204655,1064.349099,3371.684234,1356.828678,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85849,direct_cup_evidence,0.047042509,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,40,4,10,3589.877778,1198.022222,3443.637988,1051.782433,3736.117567,1344.262012,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.008236492,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,41,5,1,198.9722222,1535.227778,52.7324327,1388.987988,345.2120117,1681.467567,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85264,direct_cup_evidence,0.006790899,No,
1,Day 1,29/06/2026,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,N/A,Daily watering,Daily watering control,No,DJI_20260629153749_0001,42,5,2,575.6555638,1532.225217,429.4157743,1385.985428,721.8953534,1678.465007,292.479579,FALSE,No,FALSE,No,No,No,,,,No,FALSE,No,0,0,0,0,85556,global_lattice_fitted,0.26106152,Yes,
