day_order,day,calendar_date,days_since_planting,days_since_day1,days_since_previous_photo,tray,tray_no,label_code,microbe_status,treatment,label_environment,observed_environment,environment_type,watering_rule,heat_phase,moisture_watered_today,moisture_phase,day7_bug_rule_applies,capture_id,cell_id,row,column,x,y,square_x0,square_y0,square_x1,square_y1,square_side,raw_green_bool,raw_current_green_evidence,tracked_visible_emerged_bool,tracked_visible_emerged,newly_emerged_today,carried_forward_only,first_visible_emergence_day,first_visible_emergence_day_order,first_visible_emergence_date,disappeared_after_previous_emergence,possible_day7_bug_eaten_bool,possible_day7_bug_eaten,green_pixels,largest_green_component,green_area_percent,rgb_green_cover_percent,zone_pixels,coordinate_source,grid_error,grid_needs_review,notes,environment_group,microbe_treatment,treatment_environment,microbe_environment,observed_green_area_percent,adjusted_green_area_percent,day7_imputed,imputation_reason,imputation_method,previous_growth_rate_pp_per_day,previous_observed_green_percent,previous_observed_day_order,previous_observed_days_since_day1,adjusted_raw_current_green_evidence,adjustment_difference_pp
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,29,3,9,3211.520882036951,876.5311940964673,3065.281092514608,730.2914045741239,3357.7606715592947,1022.7709836188106,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85849,global_lattice_fitted,0.2668415648955173,Yes,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,30,3,10,3591.972222222222,873.3833333333333,3445.732432699879,727.14354381099,3738.2120117445656,1019.6231228556768,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85556,direct_cup_evidence,0.0127643316013139,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,31,4,1,194.78333333333333,1208.4944444444443,48.54354381098995,1062.254654922101,341.0231228556767,1354.734233966788,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85556,direct_cup_evidence,0.006975174570067,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,32,4,2,596.9166666666667,1200.1166666666668,450.6768771443233,1053.876877144323,743.1564561890101,1346.35645618901,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85264,direct_cup_evidence,0.0737750364573947,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,33,4,3,946.688888888889,1208.4944444444443,800.4490993665455,1062.254654922101,1092.9286784112323,1354.734233966788,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85849,direct_cup_evidence,0.0148325539696326,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,34,4,4,1260.8555555555556,1198.0222222222224,1114.615766033212,1051.7824326998789,1407.095345077899,1344.2620117445656,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85264,direct_cup_evidence,0.2081183858499304,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,35,4,5,1704.8777777777775,1204.3055555555557,1558.6379882554345,1058.0657660332122,1851.1175673001208,1350.545345077899,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85556,direct_cup_evidence,0.0016113265434664,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,36,4,6,2054.65,1223.1555555555556,1908.4102104776568,1076.9157660332123,2200.889789522344,1369.395345077899,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85556,direct_cup_evidence,0.1030498790964623,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,37,4,7,2460.972222222222,1204.3055555555557,2314.732432699879,1058.0657660332122,2607.2120117445656,1350.545345077899,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85556,direct_cup_evidence,0.0067387443021341,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
1,Day 1,2026-06-29,2,0,,Tray 1,1,N/M,No Microbes,Ideal,Inside,Inside,Fixed,Daily watering,,Daily watering,Daily watering control,No,DJI_20260629153749_0001,38,4,8,2861.0111111111114,1198.0222222222224,2714.771321588768,1051.7824326998789,3007.2509006334544,1344.2620117445656,292.4795790446868,False,No,False,No,No,No,,,,No,False,No,0,0,0.0,0.0,85264,direct_cup_evidence,0.0776951927987118,No,,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,0.0,0.0,No,,,,,,,No,0.0
