file_no,file_name,relative_path,original_path,backup_path,source_used_for_rotation,rotation,original_width,original_height,new_width,new_height,status,notes
24,DJI_20260702125620_0004_MS_RE.TIF,DJI_20260702125620_0004_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125620_0004_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125620_0004_MS_RE.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
25,DJI_20260702125757_0005_D.JPG,DJI_20260702125757_0005_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125757_0005_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125757_0005_D.JPG,backup_original,CCW_90,5280,3956,3956,5280,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
26,DJI_20260702125757_0005_F.JPG,DJI_20260702125757_0005_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125757_0005_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125757_0005_F.JPG,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
27,DJI_20260702125757_0005_MS_G.TIF,DJI_20260702125757_0005_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125757_0005_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125757_0005_MS_G.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
28,DJI_20260702125757_0005_MS_NIR.TIF,DJI_20260702125757_0005_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125757_0005_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125757_0005_MS_NIR.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
29,DJI_20260702125757_0005_MS_R.TIF,DJI_20260702125757_0005_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125757_0005_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125757_0005_MS_R.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
30,DJI_20260702125757_0005_MS_RE.TIF,DJI_20260702125757_0005_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125757_0005_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125757_0005_MS_RE.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
31,DJI_20260702125916_0006_D.JPG,DJI_20260702125916_0006_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125916_0006_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125916_0006_D.JPG,backup_original,CCW_90,5280,3956,3956,5280,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
32,DJI_20260702125916_0006_F.JPG,DJI_20260702125916_0006_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125916_0006_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125916_0006_F.JPG,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
33,DJI_20260702125916_0006_MS_G.TIF,DJI_20260702125916_0006_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702125916_0006_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702125916_0006_MS_G.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
