day_order,day,tray,tray_no,capture_id,capture_sequence_index,status,method,reference_band,cell_count,image_width,image_height,candidate_count,candidate_methods_evaluated,candidate_score,outer_coverage_pass,first_column_x_ratio,last_column_x_ratio,first_row_y_ratio,last_row_y_ratio,horizontal_coverage_ratio,vertical_coverage_ratio,horizontal_spacing_mean,vertical_spacing_mean,max_spacing_cv,median_fit_residual_px,median_fit_residual_ratio,maximum_fit_residual_px,maximum_fit_residual_ratio,fit_inlier_count,mean_cup_contrast,cup_contrast_p05,minimum_cup_contrast,edge_clipped_cell_count,centre_outside_count,source_point_count,source_supported_cell_count,source_mean_distance_ratio,x_profile_score,y_profile_score,overlay_path,reference_image_path,missing_bands,notes
4,Day 4,Tray 11,11,DJI_20260702130331_0011,0,PASS_AUTO,projection_regular_lattice,NIR,70,1375,871,1,projection_regular_lattice,798.0786303392325,Yes,0.05450517916733441,0.9459884653102201,0.10316421331853365,0.9103487096034595,0.8914832861428856,0.8071844962849258,136.19955066857844,117.17739694148946,0.013296444654859131,3.280333289505185,0.02412775090240567,9.068777789242409,0.06670334754951558,70,134.87016481672015,110.99816436767578,102.05900573730469,0,0,0,0,nan,1.1619632616217193,1.1725608464086084,Day 4\Tray 11\overlays\DJI_20260702130331_0011_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 4\Tray 11\DJI_20260702130331_0011_MS_NIR.TIF,,
4,Day 4,Tray 12,12,DJI_20260702130419_0012,0,PASS_AUTO,projection_regular_lattice,NIR,70,1378,873,1,projection_regular_lattice,789.1740389259068,Yes,0.05287853774194748,0.9485868946570396,0.10561096981905688,0.9130840071474183,0.8957083569150922,0.8074730373283614,137.14556578154568,117.48988466957825,0.012991627042089473,3.3433255742179457,0.024695327716946328,13.071289127651724,0.09655050383952647,69,138.07756783621653,89.76529693603516,72.36164855957031,0,0,0,0,nan,1.1615292587121053,1.191801793472441,Day 4\Tray 12\overlays\DJI_20260702130419_0012_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 4\Tray 12\DJI_20260702130419_0012_MS_NIR.TIF,,
5,Day 5,Tray 1,1,DJI_20260703124705_0001,0,PASS_AUTO,projection_regular_lattice,NIR,70,1361,852,1,projection_regular_lattice,801.1762075703335,Yes,0.0496952690530363,0.9485135941319738,0.09158851443331098,0.9120012841691483,0.8988183250789374,0.8204127697358373,135.92263099294448,116.50212031172471,0.0035984849594517137,4.164840185666344,0.030759043722970107,10.701693495824127,0.07903637197911201,70,133.68969900948662,114.60036277770996,107.82817077636719,0,0,0,0,nan,1.1802644336988248,1.1700587610071316,Day 5\Tray 1\overlays\DJI_20260703124705_0001_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 5\Tray 1\DJI_20260703124705_0001_MS_NIR.TIF,,
5,Day 5,Tray 2,2,DJI_20260703124740_0002,0,PASS_AUTO,projection_regular_lattice,NIR,70,1361,867,1,projection_regular_lattice,850.7611095800385,Yes,0.04442771401986793,0.9433333405739718,0.09428273945572065,0.906135725340669,0.8989056265541039,0.8118529858849484,135.9389780761682,117.31407384730201,0.010488533721712245,4.174302767244058,0.03121501271978871,8.734681863531796,0.06531706507083644,70,153.13655275617327,136.77593307495118,122.25697326660156,3,0,0,0,nan,1.1803962048949481,1.1484532891260066,Day 5\Tray 2\overlays\DJI_20260703124740_0002_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 5\Tray 2\DJI_20260703124740_0002_MS_NIR.TIF,,
5,Day 5,Tray 3,3,DJI_20260703125319_0003,0,PASS_AUTO,projection_regular_lattice,NIR,70,1374,871,1,projection_regular_lattice,780.7570206380067,Yes,0.057104677316768646,0.9457496001050074,0.09694966472374482,0.9028391477944769,0.8886449227882387,0.8058894830707322,135.6673360417662,116.99171495163725,0.004450735821041836,4.096618545477062,0.030438971813422682,16.5273825756431,0.12280287431815766,69,127.42674124581474,107.9395809173584,93.95610046386719,0,0,0,0,nan,1.183944125397619,1.1492130477671916,Day 5\Tray 3\overlays\DJI_20260703125319_0003_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 5\Tray 3\DJI_20260703125319_0003_MS_NIR.TIF,,
5,Day 5,Tray 4,4,DJI_20260703125401_0004,0,PASS_AUTO,projection_regular_lattice,NIR,70,1380,858,1,projection_regular_lattice,828.925020803087,Yes,0.05859807282262053,0.9466811673540539,0.09309827654020193,0.90984884520927,0.8880830945314334,0.816750568669068,136.17413899001352,116.79615449982447,0.004683606381483814,4.3059280939511275,0.031781335269726416,9.71146424042324,0.07167869371028868,70,142.70539910452706,126.93603210449218,99.8475570678711,0,0,0,0,nan,1.1940021862543864,1.14045983293982,Day 5\Tray 4\overlays\DJI_20260703125401_0004_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 5\Tray 4\DJI_20260703125401_0004_MS_NIR.TIF,,
5,Day 5,Tray 5,5,DJI_20260703125433_0005,0,PASS_AUTO,projection_regular_lattice,NIR,70,1368,864,1,projection_regular_lattice,729.1771751475541,Yes,0.051747395271827715,0.938883572226295,0.0915535404773384,0.9005331073438148,0.8871361769544672,0.8089795668664763,134.84598174291833,116.5017597758569,0.005995928607449789,5.3912916160631745,0.04042714288604352,13.063947537168742,0.09796132566217106,70,114.06175646100725,90.45619277954101,73.17213439941406,0,0,0,0,nan,1.1639868344020967,1.1204554208003998,Day 5\Tray 5\overlays\DJI_20260703125433_0005_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 5\Tray 5\DJI_20260703125433_0005_MS_NIR.TIF,,
5,Day 5,Tray 6,6,DJI_20260703125521_0006,0,PASS_AUTO,projection_regular_lattice,NIR,70,1367,864,1,projection_regular_lattice,753.9549260929209,Yes,0.055285921517107706,0.9472754737406679,0.09104978028600846,0.912197522263962,0.8919895522235602,0.8211477419779535,135.4834098363724,118.2454153762122,0.005642701582595799,4.995117196139832,0.037031430416205956,12.392875441172338,0.0918749023368528,70,120.16331906999861,97.10401992797851,88.87515258789062,0,0,0,0,nan,1.1803533974236855,1.1762783138285102,Day 5\Tray 6\overlays\DJI_20260703125521_0006_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 5\Tray 6\DJI_20260703125521_0006_MS_NIR.TIF,,
5,Day 5,Tray 7,7,DJI_20260703125555_0007,0,PASS_AUTO,projection_regular_lattice,NIR,70,1363,862,1,projection_regular_lattice,766.267444272303,Yes,0.04894922541749986,0.943156051161325,0.09414599286421385,0.9123664710782592,0.8942068257438252,0.8182204782140454,135.42402546566822,117.55268435007922,0.009693647585638406,4.8063427966025944,0.035597166287064406,11.42737641973525,0.08463445822585354,70,124.06704384940011,103.42871742248535,98.11870574951172,0,0,0,0,nan,1.183417328454179,1.1739580463397004,Day 5\Tray 7\overlays\DJI_20260703125555_0007_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 5\Tray 7\DJI_20260703125555_0007_MS_NIR.TIF,,
5,Day 5,Tray 8,8,DJI_20260703125615_0008,0,PASS_AUTO,projection_regular_lattice,NIR,70,1381,867,1,projection_regular_lattice,791.2343565644442,Yes,0.05093520067396323,0.9476091171388029,0.0979257099698808,0.9062805773940417,0.8966739164648397,0.8083548674241609,137.59044652840547,116.81000058286517,0.010171735357081345,4.33319328488913,0.031684568874674426,11.613203990781884,0.08491644325784724,70,134.968839263916,103.89103393554687,93.41008758544922,0,0,0,0,nan,1.1810690833513922,1.161164361774203,Day 5\Tray 8\overlays\DJI_20260703125615_0008_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 5\Tray 8\DJI_20260703125615_0008_MS_NIR.TIF,,
5,Day 5,Tray 9,9,DJI_20260703125656_0009,0,PASS_AUTO,projection_regular_lattice,NIR,70,1368,867,1,projection_regular_lattice,714.8985941447571,Yes,0.05582866280885158,0.9496039197595936,0.0865044125684036,0.8951590195698228,0.8937752569507419,0.8086546070014191,135.8538833294389,116.8523151500635,0.0016770065583707942,5.0149240113603515,0.03702556825659551,8.900498915042862,0.06571306551208957,70,104.695310320173,87.30215759277344,73.51313781738281,0,0,0,0,nan,1.1910020376708577,1.179451201675995,Day 5\Tray 9\overlays\DJI_20260703125656_0009_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 5\Tray 9\DJI_20260703125656_0009_MS_NIR.TIF,,
5,Day 5,Tray 10,10,DJI_20260703125724_0010,0,PASS_AUTO,projection_regular_lattice,NIR,70,1377,871,1,projection_regular_lattice,762.0898308090419,Yes,0.04969116963058689,0.9412937673957422,0.089368870936481,0.8989527754613292,0.8916025977651553,0.8095839045248483,136.41575885859643,117.52642109123245,0.008722284138724067,3.5633355751251505,0.026481549684705518,8.2156080541207,0.06105572385436165,70,120.98558981759207,103.55300865173339,89.29912567138672,0,0,0,0,nan,1.1514770450292786,1.1711390502445889,Day 5\Tray 10\overlays\DJI_20260703125724_0010_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 5\Tray 10\DJI_20260703125724_0010_MS_NIR.TIF,,
5,Day 5,Tray 11,11,DJI_20260703125745_0011,0,PASS_AUTO,projection_regular_lattice,NIR,70,1376,869,1,projection_regular_lattice,791.0423715902602,Yes,0.055213655052010945,0.9432745143523672,0.09462235470673838,0.9072970211423105,0.8880608593003563,0.8126746664355721,135.7748498655672,117.70400849716162,0.014647054624849033,4.252755325708625,0.03136260658359362,11.011613119929159,0.08120685618647268,70,132.42284175327845,112.07580108642578,105.5146484375,0,0,0,0,nan,1.1907205767534321,1.167415742229047,Day 5\Tray 11\overlays\DJI_20260703125745_0011_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 5\Tray 11\DJI_20260703125745_0011_MS_NIR.TIF,,
5,Day 5,Tray 12,12,DJI_20260703125807_0012,0,PASS_AUTO,projection_regular_lattice,NIR,70,1378,871,1,projection_regular_lattice,833.5496654905317,Yes,0.05315334722652501,0.9478505004936326,0.10732292999497621,0.9053492235149934,0.8946971532671076,0.7980262935200171,136.99035276612724,115.85009156887735,0.006759330394961293,3.3906346027447265,0.0248550131161435,8.268795215519429,0.060614320802976025,70,144.03648245675222,126.22685813903809,122.77595520019531,0,0,0,0,nan,1.185872163293103,1.1516668146100868,Day 5\Tray 12\overlays\DJI_20260703125807_0012_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 5\Tray 12\DJI_20260703125807_0012_MS_NIR.TIF,,
6,Day 6,Tray 1,1,DJI_20260704134522_0001,0,PASS_AUTO,projection_regular_lattice,NIR,70,1378,871,1,projection_regular_lattice,746.4500069374799,Yes,0.055972394577489065,0.9483452382121633,0.09411416278474498,0.9102499804075557,0.8923728436346742,0.8161358176228107,136.63272615243318,118.48587939660548,0.008954215007196965,5.329557948522251,0.03957389241213053,13.75199118098785,0.10211350072661828,70,119.73687656947544,94.25502395629883,91.04231262207031,0,0,0,0,nan,1.1689994052032755,1.1628375682742593,Day 6\Tray 1\overlays\DJI_20260704134522_0001_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 6\Tray 1\DJI_20260704134522_0001_MS_NIR.TIF,,
6,Day 6,Tray 2,2,DJI_20260704134551_0002,0,PASS_AUTO,projection_regular_lattice,NIR,70,1376,864,1,projection_regular_lattice,806.3296277020493,Yes,0.05611503276453476,0.9501366615342005,0.09620219788472768,0.9066377886019942,0.8940216287696657,0.8104355907172666,136.68794392685436,116.70397294078072,0.007989082689764967,3.986393291626845,0.029233283652226785,8.780444671166553,0.06438933915628367,70,134.3174793788365,121.77524948120117,106.84326934814453,0,0,0,0,nan,1.189082099749744,1.153592774784131,Day 6\Tray 2\overlays\DJI_20260704134551_0002_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 6\Tray 2\DJI_20260704134551_0002_MS_NIR.TIF,,
6,Day 6,Tray 3,3,DJI_20260704134620_0003,0,PASS_AUTO,projection_regular_lattice,NIR,70,1376,871,1,projection_regular_lattice,796.7569886470966,Yes,0.06252094673097394,0.9514843631108232,0.09779499245492856,0.9096138123061714,0.8889634163798492,0.8118188198512429,135.91314758887628,117.85013131863755,0.002762370731282158,4.6936120668940795,0.03470120621119502,11.532979650070931,0.08526659198987836,70,132.6553989955357,112.66720428466797,91.30653381347656,0,0,0,0,nan,1.1897622255315004,1.173205700966207,Day 6\Tray 3\overlays\DJI_20260704134620_0003_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 6\Tray 3\DJI_20260704134620_0003_MS_NIR.TIF,,
6,Day 6,Tray 4,4,DJI_20260704134702_0004,0,PASS_AUTO,projection_regular_lattice,NIR,70,1381,878,1,projection_regular_lattice,812.2910248624718,Yes,0.06379319567846174,0.9521137465724772,0.10246298303021394,0.9049977232801137,0.8883205508940154,0.8025347402498998,136.3118508060353,117.44488678940685,0.006773288821893368,3.5701863500637323,0.026337394930650203,9.91066778620791,0.07311135776068689,70,138.96683415004185,119.28003196716308,103.89382934570312,1,0,0,0,nan,1.1838239130644208,1.1224833584087228,Day 6\Tray 4\overlays\DJI_20260704134702_0004_MS_NIR_grid_overlay.jpg,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\01_Crop_Dual_Reference\Day 6\Tray 4\DJI_20260704134702_0004_MS_NIR.TIF,,
