day_order,day,tray,tray_no,capture_id,cell_id,row,column,raw_current_green_evidence,tracked_visible_emerged,carried_forward_only,first_visible_emergence_day,first_visible_emergence_day_order,green_pixels,largest_green_component,green_area_percent,square_side,coordinate_source,square_x0,square_y0,square_x1,square_y1,centre_x,centre_y
1,Day 1,Tray 5,5,DJI_20260618124449_0006,4,1,4,No,No,No,,,0,0,0.0,296.32,direct_cup_evidence,1188.876,52.501,1485.197,348.821,1337.037,200.661
1,Day 1,Tray 5,5,DJI_20260618124449_0006,5,1,5,No,No,No,,,0,0,0.0,296.32,direct_cup_evidence,1566.964,56.725,1863.285,353.046,1715.124,204.886
1,Day 1,Tray 5,5,DJI_20260618124449_0006,6,1,6,Yes,Yes,No,Day 1,1,1311,1311,1.4963,296.32,direct_cup_evidence,1953.501,56.725,2249.821,353.046,2101.661,204.886
1,Day 1,Tray 5,5,DJI_20260618124449_0006,7,1,7,No,No,No,,,0,0,0.0,296.32,direct_cup_evidence,2342.15,60.95,2638.47,357.27,2490.31,209.11
1,Day 1,Tray 5,5,DJI_20260618124449_0006,8,1,8,Yes,Yes,No,Day 1,1,1586,1586,1.80408,296.32,direct_cup_evidence,2724.462,63.062,3020.782,359.382,2872.622,211.222
1,Day 1,Tray 5,5,DJI_20260618124449_0006,9,1,9,No,No,No,,,0,0,0.0,296.32,direct_cup_evidence,3104.662,60.95,3400.982,357.27,3252.822,209.11
1,Day 1,Tray 5,5,DJI_20260618124449_0006,10,1,10,Yes,Yes,No,Day 1,1,317,317,0.36059,296.32,direct_cup_evidence,3472.189,60.95,3768.509,357.27,3620.349,209.11
1,Day 1,Tray 5,5,DJI_20260618124449_0006,11,2,1,Yes,Yes,No,Day 1,1,2479,2479,2.82939,296.32,direct_cup_evidence,44.052,394.681,340.372,691.001,192.212,542.841
1,Day 1,Tray 5,5,DJI_20260618124449_0006,12,2,2,Yes,Yes,No,Day 1,1,944,944,1.0738,296.32,direct_cup_evidence,424.252,398.905,720.572,695.226,572.412,547.066
1,Day 1,Tray 5,5,DJI_20260618124449_0006,13,2,3,Yes,Yes,No,Day 1,1,915,915,1.04081,296.32,direct_cup_evidence,800.228,392.569,1096.548,688.889,948.388,540.729
1,Day 1,Tray 5,5,DJI_20260618124449_0006,14,2,4,No,No,No,,,0,0,0.0,296.32,direct_cup_evidence,1186.764,394.681,1483.085,691.001,1334.924,542.841
1,Day 1,Tray 5,5,DJI_20260618124449_0006,15,2,5,Yes,Yes,No,Day 1,1,833,833,0.94754,296.32,direct_cup_evidence,1571.189,394.681,1867.509,691.001,1719.349,542.841
